ProjectName,RelativePath,ProductArea,OutputType,TargetFramework,DependsOnCount,UsedByCount_WithinRepo,PackageReferenceCount
VQIApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\VQIApp\VQIApp.csproj,MedStreaming.Analytics,Library,v4.5,1,0,0
Web,MedStreaming.Analytics\ProtoTypes\Sample\Web\Web.csproj,MedStreaming.Analytics,Library,v4.5.1,4,0,0
WebMDX,MedStreaming.Analytics\ProtoTypes\WebMDX\WebMDX\WebMDX.csproj,MedStreaming.Analytics,Library,v4.0,1,0,0
XPerApp,MedStreaming.Analytics\ProtoTypes\WebMDX\Plugins\XPerApp\XPerApp.csproj,MedStreaming.Analytics,Library,v4.5,1,0,0
XiImporter,MedStreaming.Analytics\ProtoTypes\XiImporter\XiImporter\XiImporter\XiImporter.csproj,MedStreaming.Analytics,Exe,v4.5,3,0,0
AutomaticAbstraction,MedStreaming.BigData\NLP\AutomaticAbstraction\AutomaticAbstraction\AutomaticAbstraction.csproj,MedStreaming.BigData,Library,v4.5.2,3,1,0
AutomaticAbstractionTests,MedStreaming.BigData\NLP\AutomaticAbstraction\AutomaticAbstractionTests\AutomaticAbstractionTests.csproj,MedStreaming.BigData,Library,v4.5.2,3,0,0
BatchReportTesting,MedStreaming.BigData\NLP\AutomaticAbstraction\BatchReportTesting\BatchReportTesting.csproj,MedStreaming.BigData,Exe,v4.5.2,4,0,0
BusinessLayer,MedStreaming.BigData\ECG\CloudPACSPortal\BusinessLayer\BusinessLayer.csproj,MedStreaming.BigData,Library,v4.5,2,0,0
CTakesCasParser,MedStreaming.BigData\NLP\CTakesCasParser\CTakesCasParser\CTakesCasParser.csproj,MedStreaming.BigData,Exe,v4.5.2,0,0,0
Common,MedStreaming.BigData\NLP\AutomaticAbstraction\Common\Common.csproj,MedStreaming.BigData,Library,v4.5.2,0,6,0
DataAccessLayer,MedStreaming.BigData\ECG\CloudPACSPortal\DataAccessLayer\DataAccessLayer.csproj,MedStreaming.BigData,Library,v4.5,2,0,0
DataAccessLayer,MedStreaming.BigData\ECG\HTML5PortalExample\DataAccessLayer\DataAccessLayer.csproj,MedStreaming.BigData,Exe,v4.5,2,0,0
DocumentProcessor,MedStreaming.BigData\NLP\AutomaticAbstraction\DocumentProcessor\DocumentProcessor.csproj,MedStreaming.BigData,Library,v4.5.2,1,5,0
DocumentProcessorTests,MedStreaming.BigData\NLP\AutomaticAbstraction\DocumentProcessorTests\DocumentProcessorTests.csproj,MedStreaming.BigData,Library,v4.5.2,2,0,0
ECGGateway,MedStreaming.BigData\ECG\ECGGateway\ECGGateway\ECGGateway.csproj,MedStreaming.BigData,Exe,v4.5,0,0,0
ECGViewer,MedStreaming.BigData\ECG\CloudPACSPortal\ECGViewer\ECGViewer.csproj,MedStreaming.BigData,Library,v4.5,2,0,0
ECGViewer,MedStreaming.BigData\ECG\HTML5PortalExample\ECGViewer\ECGViewer.csproj,MedStreaming.BigData,Library,v4.5,2,0,0
ExamAnalyserGUI,MedStreaming.BigData\Image Analytics\Crawler\ExamAnalyserGUI\ExamAnalyserGUI.csproj,MedStreaming.BigData,WinExe,v4.5.2,5,0,0
ExamIngestionService,MedStreaming.BigData\Image Analytics\ExamIngestionService\ExamIngestionService.csproj,MedStreaming.BigData,Exe,v4.5,0,0,0
InformationExtractor,MedStreaming.BigData\NLP\AutomaticAbstraction\InformationExtractor\InformationExtractor.csproj,MedStreaming.BigData,Library,v4.5.2,2,3,0
MVCPivotViewer,MedStreaming.BigData\Image Analytics\PivotViewer_ProtoType\MVCPivotViewer\MVCPivotViewer.csproj,MedStreaming.BigData,Library,v4.8,0,0,0
MVCPivotViewer,MedStreaming.BigData\Image Analytics\PivotViewer_VM_DEMO\MVCPivotViewer\MVCPivotViewer.csproj,MedStreaming.BigData,Library,v4.5.1,0,0,0
MedStreaming.AbstractorApp,MedStreaming.BigData\NLP\MedStreaming.AbstractorApp\MedStreaming.AbstractorApp\MedStreaming.AbstractorApp.csproj,MedStreaming.BigData,Exe,v4.6.1,0,0,0
MedStreaming.ImageSearch,MedStreaming.BigData\Image Analytics\MedStreaming.ImageSearch\MedStreaming.ImageSearch\MedStreaming.ImageSearch.csproj,MedStreaming.BigData,Library,v4.5.2,0,0,0
MedStreaming.MessageBus,MedStreaming.BigData\ECG\CloudPACSPortal\MedStreaming.MessageBus\MedStreaming.MessageBus.csproj,MedStreaming.BigData,Library,v4.5,0,7,0
MedStreaming.MessageBus,MedStreaming.BigData\ECG\HTML5PortalExample\MedStreaming.MessageBus\MedStreaming.MessageBus.csproj,MedStreaming.BigData,Library,v4.5,0,5,0
MedStreaming.Messages,MedStreaming.BigData\ECG\HTML5PortalExample\MedStreaming.Messages\MedStreaming.Messages.csproj,MedStreaming.BigData,Library,v4.5,1,3,0
Messages,MedStreaming.BigData\ECG\CloudPACSPortal\Messages\Messages.csproj,MedStreaming.BigData,Library,v4.5,1,3,0
PDFParser,MedStreaming.BigData\ECG\PDFsGetter\PDFParser\PDFParser.csproj,MedStreaming.BigData,Exe,v4.5,0,0,0
PDFsGetter,MedStreaming.BigData\ECG\PDFsGetter\PDFsGetter\PDFsGetter.csproj,MedStreaming.BigData,Exe,v4.5,0,0,0
Server,MedStreaming.BigData\ECG\CloudPACSPortal\Server\Server.csproj,MedStreaming.BigData,Exe,v4.5,1,0,0
Server,MedStreaming.BigData\ECG\HTML5PortalExample\Server\Server.csproj,MedStreaming.BigData,Exe,v4.5,1,0,0
StanfordNer,MedStreaming.BigData\NLP\StanfordNer\StanfordNer\StanfordNer.csproj,MedStreaming.BigData,Exe,v4.5.2,0,0,0
Viewer,MedStreaming.BigData\ECG\HTML5PortalExample\Viewer\Viewer.csproj,MedStreaming.BigData,Library,v4.5,2,0,0
testing,MedStreaming.BigData\ECG\CloudPACSPortal\testing\testing.csproj,MedStreaming.BigData,Exe,v4.5,1,0,0
testing2,MedStreaming.BigData\ECG\CloudPACSPortal\testing2\testing2.csproj,MedStreaming.BigData,Exe,v4.5,1,0,0
MedStreaming.Billing.Dashboard,MedStreaming.Billing.Dashboard\MedStreaming.Billing.Dashboard\MedStreaming.Billing.Dashboard.csproj,MedStreaming.Billing.Dashboard,Library,v4.5,0,0,0
MedStreaming.Common.Repository.UnitTests,MedStreaming.Common.Repository.UnitTests\MedStreaming.Common.Repository.UnitTests.csproj,MedStreaming.Common.Repository.UnitTests,Library,v4.0,1,0,0
MedStreaming.Comom.Test,MedStreaming.Comom.Test\MedStreaming.Comom.Test.csproj,MedStreaming.Comom.Test,Library,v4.0,2,0,0
MedStreaming.DataReplication.Conflict,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Conflict\MedStreaming.DataReplication.Conflict.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,0,0,0
MedStreaming.DataReplication.DAL,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.DAL\MedStreaming.DataReplication.DAL.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,2,2,0
MedStreaming.DataReplication.Entities,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Entities\MedStreaming.DataReplication.Entities.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,0,4,0
MedStreaming.DataReplication.Observers,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Observers\MedStreaming.DataReplication.Observers.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,4,1,0
MedStreaming.DataReplication.Service,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Service\MedStreaming.DataReplication.Service.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,3,3,0
MedStreaming.DataReplication.Service.Host,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Service.Host\MedStreaming.DataReplication.Service.Host.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,1,0,0
MedStreaming.DataReplication.ServiceProxy,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.ServiceProxy\MedStreaming.DataReplication.ServiceProxy.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,1,2,0
MedStreaming.DataReplication.Sync,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Sync\MedStreaming.DataReplication.Sync.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,3,0,0
MedStreaming.DataReplication.Util,MedStreaming.DataReplicationGalaxy\MedStreaming.DataReplication.Util\MedStreaming.DataReplication.Util.csproj,MedStreaming.DataReplicationGalaxy,Library,v4.8,0,2,0
MedStreaming.EmailNotifierTest,MedStreaming.EmailNotifierTest\MedStreaming.EmailNotifierTest.csproj,MedStreaming.EmailNotifierTest,Exe,v4.8,1,0,0
MedStreaming.ExamFileSync,MedStreaming.ExamFileSync\MedStreaming.ExamFileSync.csproj,MedStreaming.ExamFileSync,Library,v4.8,7,1,0
MedStreaming.ExamFileSyncCommon,MedStreaming.ExamFileSyncCommon\MedStreaming.ExamFileSyncCommon.csproj,MedStreaming.ExamFileSyncCommon,Library,v4.8,3,0,0
MedStreaming.ExamFileSyncDB,MedStreaming.ExamFileSyncDB\MedStreaming.ExamFileSyncDB.csproj,MedStreaming.ExamFileSyncDB,Library,v4.8,2,2,0
MedStreaming.ExamFileSyncGUI,MedStreaming.ExamFileSyncGUI\MedStreaming.ExamFileSyncGUI.csproj,MedStreaming.ExamFileSyncGUI,Library,v4.8,6,0,0
MedStreaming.ExternalRepositry,MedStreaming.ExternalRepositry\MedStreaming.ExternalRepositry\MedStreaming.ExternalRepositry.csproj,MedStreaming.ExternalRepositry,Library,v4.6.1,0,0,0
MedStreaming.FirstUseConfigurationManager,MedStreaming.FirstUseConfigurationManager\MedStreaming.FirstUseConfigurationManager.csproj,MedStreaming.FirstUseConfigurationManager,WinExe,v4.8,0,0,0
MedStreaming.HeartBeatGen,MedStreaming.HeartBeatGen\MedStreaming.HeartBeatGen.csproj,MedStreaming.HeartBeatGen,WinExe,v4.8,0,0,0
CreateCertificate.XUnitTest,MedStreaming.IdentityServer\CreateCertificate.XUnitTest\CreateCertificate.XUnitTest.csproj,MedStreaming.IdentityServer,(unknown),netcoreapp2.0,1,0,3
